,track_id,track_name,first_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,mood
498,1XxLV1Ag179JlXq1gwICcl,Kitchen Table,Molly Parden,0.586,0.35,3,-10.414,1,0.0279,0.794,0.000173,0.12,0.359,132.98,spotify:track:1XxLV1Ag179JlXq1gwICcl,208800,4,sad
499,1sEhjL5tpYtjNPlnc8jATm,Giant,Matrimony,0.6,0.425,11,-7.499,0,0.0302,0.703,0.0,0.0833,0.357,124.004,spotify:track:1sEhjL5tpYtjNPlnc8jATm,231413,4,sad
500,79pcC3KJRMA2L8xIb5mu3G,Thumbs,Lucy Dacus,0.474,0.0964,7,-15.87,0,0.0406,0.961,0.0,0.134,0.272,97.595,spotify:track:79pcC3KJRMA2L8xIb5mu3G,265440,4,sad
501,2R1QmACbs4S02eaHJVAIjq,I Don't Want to Let You Down,Sharon Van Etten,0.486,0.659,9,-6.862,0,0.0273,0.0119,0.00321,0.141,0.414,94.487,spotify:track:2R1QmACbs4S02eaHJVAIjq,242893,4,sad
502,0ssUuvHbzmex6n2ZojDvuS,Pick Apart,Samantha Crain,0.636,0.668,5,-5.861,1,0.0282,0.0233,0.000103,0.233,0.687,117.003,spotify:track:0ssUuvHbzmex6n2ZojDvuS,215794,4,sad
503,6M1lGjZRnXL4vZvY0p3kTv,Turn To Dust,Wolf Alice,0.511,0.434,6,-12.864,0,0.0284,0.815,0.0584,0.23,0.242,80.995,spotify:track:6M1lGjZRnXL4vZvY0p3kTv,187933,3,sad
504,2MQC4MMW0xXjNPM0b30I1D,Rae,Lilly Hiatt,0.612,0.217,3,-12.479,1,0.0423,0.807,3.05e-05,0.177,0.693,80.821,spotify:track:2MQC4MMW0xXjNPM0b30I1D,175774,4,sad
505,1odExI7RdWc4BT515LTAwj,Daylight,David Kushner,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,spotify:track:1odExI7RdWc4BT515LTAwj,212954,4,sad
506,1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,d4vd,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,spotify:track:1xK59OXxi2TAAAbmZK0kBL,132631,4,sad
507,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,spotify:track:7qEHsqek33rTcFNT9PFqLf,182161,4,sad
508,2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,Alec Benjamin,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073,spotify:track:2qxmye6gAegTMjLKEBoR3d,169354,4,sad
509,75ZvA4QfFiZvzhj2xkaWAh,I Fall Apart,Post Malone,0.556,0.538,8,-5.408,0,0.0382,0.0689,0.0,0.196,0.291,143.95,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,223347,4,sad
510,09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,spotify:track:09mEdoA6zrmBPgTEN5qXmN,228373,3,sad
511,5TXDeTFVRVY7Cvt0Dw4vWW,Revenge,XXXTENTACION,0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,120027,4,sad
512,5LrN7yUQAzvthd4QujgPFr,Here With Me,d4vd,0.571,0.458,4,-9.283,1,0.0258,0.544,9.27e-05,0.123,0.299,132.025,spotify:track:5LrN7yUQAzvthd4QujgPFr,242485,4,sad
513,6Ox1rvlwEpB49drasQm6RF,Star Shopping,Lil Peep,0.538,0.471,4,-9.84,0,0.0955,0.0946,0.0185,0.116,0.307,93.07,spotify:track:6Ox1rvlwEpB49drasQm6RF,142000,4,sad
514,7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,Lil Uzi Vert,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,spotify:track:7GX5flRQZVHRAGd6B4TmDO,182707,4,sad
515,50a8bKqlwDEqeiEknrzkTO,ball w/o you,21 Savage,0.892,0.633,8,-7.471,1,0.0902,0.0467,0.000189,0.139,0.459,137.994,spotify:track:50a8bKqlwDEqeiEknrzkTO,195047,4,sad
516,1lOe9qE0vR9zwWQAOk6CoO,Ransom,Lil Tecca,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,spotify:track:1lOe9qE0vR9zwWQAOk6CoO,131240,4,sad
517,3GVkPk8mqxz0itaAriG1L7,Everybody Dies In Their Nightmares,XXXTENTACION,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,spotify:track:3GVkPk8mqxz0itaAriG1L7,95467,4,sad
518,6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,Joji,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,spotify:track:6xGruZOHLs39ZbVccQTuPZ,233456,3,sad
519,1VLtjHwRWOVJiE5Py7JxoQ,Martin & Gina,Polo G,0.832,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.116,93.924,spotify:track:1VLtjHwRWOVJiE5Py7JxoQ,132833,4,sad
520,2LKOHdMsL0K9KwcPRlJK2v,After Dark,Mr.Kitty,0.585,0.595,8,-10.444,1,0.0328,0.0696,0.266,0.0837,0.039,140.037,spotify:track:2LKOHdMsL0K9KwcPRlJK2v,259147,4,sad
521,55Am8neGJkdj2ADaM3aw5H,Train Wreck,James Arthur,0.311,0.485,6,-5.726,0,0.0365,0.701,0.0,0.0726,0.225,77.355,spotify:track:55Am8neGJkdj2ADaM3aw5H,208827,4,sad
